"","Beta: SP-500","Fama Beta ","Systematic Risk to SP-500 (Rf = 0.01)","Specific Risk = "
"AAPL",1.11,1.95,0.0263,0.1753
"AIG",1.13,1.83,0.0268,0.1578
"AMGN",1.22,2.03,0.0291,0.1769
"AMZN",1.15,2.35,0.0274,0.2235
"BSX",0.97,2.04,0.0232,0.195
"CCI",0.65,1.6,0.0154,0.159
"CTSH",1.26,2.29,0.03,0.2083
"DIS",0.83,1.54,0.0199,0.1415
"EQIX",0.84,1.94,0.0201,0.1901
"EVR",1.74,2.66,0.0414,0.2198
"EWS",0.9,1.44,0.0215,0.1218
"EXC",0.57,1.78,0.0136,0.1835
"EXPD",0.79,1.6,0.0187,0.1522
"GD",0.88,1.47,0.0209,0.1283
"GILD",0.98,2.24,0.0232,0.2195
"GLD",-0.33,1.24,-0.0077,0.13
"GOOGL",1.02,1.69,0.0243,0.1465
"HQH",1.27,2.36,0.0303,0.216
"LEG",1.06,1.75,0.0251,0.1519
"LH",0.86,1.81,0.0205,0.1739
"MA",1.18,1.65,0.0281,0.1262
"MDLZ",1.19,2.05,0.0283,0.1818
"MTN",0.88,1.85,0.021,0.1777
"NUE",1.45,2.6,0.0346,0.2353
"PANW",1.29,3.76,0.0308,0.3853
"PCLN",1.27,2.44,0.0303,0.2273
"PPA",0.94,1.15,0.0224,0.0723
"QCOM",1.17,2.81,0.0278,0.2782
"SBUX",0.92,1.75,0.022,0.1618
"SLB",1.12,2.04,0.0268,0.1862
"SP-500",1,1,0.0238,0
"TPYP",0.84,1.83,0.0199,0.1776
"VLY",1.33,2.14,0.0318,0.1822
"VNQ",0.72,1.33,0.0171,0.1215
"VZ",0.62,1.53,0.0148,0.152
"WFC",1.26,1.91,0.0299,0.1564
"WM",0.58,1.18,0.0138,0.1122
"WTR",0.46,1.55,0.0111,0.1617
"XLB",1.09,1.38,0.026,0.0931
"XLF",1.24,1.51,0.0296,0.0927
"XLI",1.01,1.15,0.0241,0.0601
"XLK",1.09,1.24,0.0261,0.0647
"XLP",0.63,0.97,0.0149,0.0811
"XLRE",0.68,1.34,0.0161,0.1255
"XLV",0.92,1.2,0.0218,0.0852
"XLY",0.98,1.12,0.0234,0.059
"XME",1.51,3.01,0.0359,0.2837
"XOM",0.88,1.58,0.0209,0.1428
"XOP",1.7,3.22,0.0406,0.2979
